"","PE1","PE2","PE3","PE4","EE1","EE2","EE3","EE4","SI1","SI2","SI3","HM1","HM2","HM3","HA1","HA2","HA3","HA4","BI1","BI2","BI3"
10201662235,6,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,6,5,5,5,5
10201663496,5,5,5,4,5,5,5,5,2,2,2,3,3,2,2,2,4,3,6,4,5
10201668566,5,4,5,5,5,5,6,5,5,5,4,5,5,6,5,4,5,6,5,6,5
10201671837,3,4,5,4,3,4,5,5,3,4,5,3,4,5,3,4,5,5,5,4,3
10201675820,6,6,6,5,5,6,6,6,5,5,4,5,5,5,5,5,5,5,4,4,5
10201676484,7,5,5,6,6,5,5,4,6,6,5,3,5,2,5,2,5,5,5,5,5
10201683194,7,7,7,7,7,7,7,7,7,4,4,4,5,5,5,6,6,6,5,6,6
10201683503,6,6,4,5,5,5,6,6,3,4,4,4,4,4,4,4,5,5,6,4,6
10201684892,4,5,5,4,5,6,5,6,5,6,5,5,6,6,4,5,5,6,5,6,5
10201685095,6,5,5,5,2,5,6,6,7,6,5,5,6,6,7,6,6,7,6,5,6
10201685469,7,7,7,6,7,7,7,7,3,4,7,7,7,7,7,4,6,7,7,7,7
10201687549,6,6,6,6,6,6,6,6,6,5,5,5,5,5,7,5,6,6,5,5,5
10201688197,7,7,7,6,7,7,7,7,4,4,4,5,5,5,7,4,5,7,6,5,6
10201694697,5,4,5,4,5,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4
10201695931,6,6,6,5,6,6,7,6,6,6,5,6,5,5,4,4,5,5,5,6,4
10201696702,5,5,4,5,5,5,6,5,5,5,6,5,5,5,5,6,5,5,5,5,5
10201701831,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10201701972,6,5,6,5,7,7,7,6,4,5,3,4,4,3,6,4,5,6,5,6,6
10201702168,6,5,6,5,6,5,6,5,4,4,4,4,3,3,4,2,4,4,4,4,4
10201702686,6,5,6,5,6,6,5,6,5,6,5,5,6,5,5,5,4,5,6,5,5
10201705185,6,5,6,6,6,5,5,5,3,3,2,4,5,4,5,5,5,5,6,6,6
10201705834,6,5,6,6,5,6,5,5,5,6,6,6,6,5,6,6,6,5,6,6,6
10201706375,6,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,4,5,5,5
10201708237,7,7,6,6,5,5,5,5,4,5,5,5,5,5,6,6,6,6,6,6,6
10201715668,7,7,7,7,7,7,7,7,7,5,5,5,5,5,6,4,5,5,7,6,7
10201718398,6,5,5,6,5,6,6,5,5,4,5,5,5,6,6,7,7,7,7,7,7
10201719080,5,5,5,4,5,5,5,5,3,3,3,4,4,4,4,4,4,4,5,4,5
10201847962,4,5,6,5,5,5,6,5,4,5,5,5,4,6,3,5,4,4,4,4,5
10201863075,6,4,3,5,5,5,4,4,3,6,4,4,4,5,5,3,5,4,4,5,4
10201865309,6,5,5,3,6,5,5,6,2,2,3,4,4,4,6,3,5,6,6,5,6
10201865414,6,5,5,5,6,6,5,5,5,6,5,5,6,6,6,5,6,6,5,6,5
10201869387,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10201871581,6,6,6,4,6,6,6,6,3,3,3,4,4,4,1,1,4,4,5,4,4
10201872107,7,7,7,6,7,7,7,7,5,2,2,4,4,4,5,4,4,6,6,6,7
10201874244,5,6,5,5,3,3,4,3,5,4,5,5,5,4,5,5,4,4,5,5,5
10201875176,7,6,7,5,5,6,6,6,5,5,6,5,6,4,6,5,6,7,7,6,7
10201877186,7,7,7,7,7,7,7,7,7,6,6,7,7,7,6,6,6,7,6,6,6
10201880335,4,4,4,5,5,6,4,6,4,5,4,4,3,3,3,4,4,4,5,5,5
10201881203,6,5,5,4,4,5,4,6,4,4,4,4,4,4,5,5,5,4,4,4,5
10201889025,5,5,5,6,6,5,5,6,5,4,4,6,5,5,5,5,5,5,6,5,6
10201893768,7,6,6,2,7,7,7,5,6,6,6,6,6,6,4,4,4,4,7,6,6
10201896571,4,5,6,6,5,4,4,5,4,6,6,7,6,7,7,6,5,5,2,3,4
10201910796,5,5,5,6,5,4,5,6,6,5,5,5,6,5,5,5,6,6,5,4,5
10201911065,6,7,5,5,4,4,5,5,6,3,5,6,5,5,6,5,4,5,7,5,6
10201917029,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
10201919225,7,6,6,6,5,5,4,4,4,4,4,6,5,5,5,4,4,4,6,5,5
10201920276,6,6,5,4,4,5,5,5,6,5,5,6,6,5,5,5,6,6,5,5,6
10201921495,6,6,6,5,6,6,6,6,4,5,4,5,5,4,5,4,5,5,6,5,5
10201936064,6,6,6,4,5,2,5,5,4,4,4,2,3,3,4,4,6,4,6,4,6
10201942364,7,7,6,6,7,6,6,6,7,6,6,5,5,5,6,5,6,6,5,5,5
10201944949,6,7,7,4,3,3,2,2,6,6,6,2,3,1,2,1,2,1,2,2,2
10201949350,6,5,7,5,7,6,4,6,7,6,4,6,6,7,7,7,4,7,5,4,4
10201961928,6,6,6,5,6,6,7,6,2,2,2,5,5,5,2,2,3,4,5,4,5
10201962434,7,6,7,7,6,7,6,6,6,7,7,6,6,6,6,7,7,6,5,6,6
10201963920,7,7,7,6,5,5,5,5,4,4,4,4,4,4,6,5,6,5,7,6,7
10201964709,6,6,7,6,6,7,6,6,5,5,5,5,4,5,5,4,6,6,6,6,7
10201965546,5,4,5,4,5,5,5,4,3,4,4,4,4,4,5,4,4,5,5,4,4
10201967003,5,4,5,5,5,6,5,4,6,5,4,5,4,5,5,4,5,5,5,6,5
10201968900,6,4,5,6,3,5,5,6,4,6,7,5,5,6,6,7,3,6,5,5,5
10201969848,7,7,7,6,6,7,7,6,5,5,5,5,6,5,7,6,6,6,7,6,7
10201974108,6,7,7,6,5,6,5,5,4,5,6,5,6,5,5,6,6,5,6,5,5
10201977053,6,5,4,4,6,6,4,4,2,2,2,5,3,3,1,1,1,1,4,4,4
10201991992,7,6,6,6,7,7,7,7,5,6,4,6,6,6,7,5,7,7,7,7,7
10201995788,6,6,6,6,6,6,6,6,6,6,6,4,5,4,5,5,6,6,5,5,5
10201998501,7,7,7,7,7,7,7,7,4,7,7,7,7,7,6,4,5,6,7,7,7
10201999268,6,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,6,6,5,5
10202003316,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,4,5,5,5,4,5
10202003907,7,6,6,7,7,7,7,7,4,4,4,4,4,4,7,6,6,7,7,7,7
10202009443,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5
10202016665,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,6,5,6,6,6
10202017392,6,5,5,7,5,5,6,4,3,3,5,5,5,4,3,5,4,4,4,4,6
10202021423,5,5,4,5,5,5,5,5,5,5,6,5,5,5,5,4,6,5,5,5,5
10202023369,5,4,5,6,5,5,5,4,5,6,5,5,4,5,5,5,4,5,5,4,5
10202029447,6,7,7,6,7,7,6,7,7,6,7,6,7,7,7,6,7,7,6,7,6
10202029903,6,6,6,6,7,6,7,7,4,4,4,6,6,6,7,7,7,7,7,7,6
10199529723,3,4,3,4,4,3,4,3,3,4,4,4,4,4,5,5,4,4,3,3,3
10199529985,5,5,6,4,4,4,5,5,3,3,3,3,4,3,5,4,3,2,3,2,3
10199532741,4,5,4,4,4,3,3,3,3,5,3,3,3,1,3,3,4,3,3,4,3
10199533976,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4,3,3,3,5,4,4
10199540745,7,7,7,5,7,7,7,7,1,1,1,4,4,3,4,4,4,3,6,3,7
10199544126,4,3,4,3,5,3,2,3,4,3,3,4,4,4,3,3,5,5,5,5,5
10199545637,2,2,3,4,4,2,3,3,4,3,2,2,2,2,4,5,2,1,1,1,1
10199550551,5,5,6,5,3,3,3,3,4,5,4,4,4,4,4,3,4,4,4,4,4
10199556538,5,5,5,5,3,3,3,3,4,4,5,5,4,5,5,5,5,5,2,3,3
10199567670,4,5,5,6,3,3,4,4,4,4,4,2,4,6,5,4,3,2,6,5,4
10199571555,4,4,4,3,3,3,4,3,1,1,1,3,3,2,2,2,1,1,1,1,1
10199586046,4,3,4,4,4,3,4,3,3,4,3,3,3,4,4,3,4,3,3,4,4
10199601322,5,4,4,3,4,4,4,4,1,1,1,4,4,4,4,1,4,1,1,1,1
10199603614,4,5,4,5,5,4,4,4,1,2,2,2,3,3,4,2,2,1,2,2,2
10199609062,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10199609386,5,5,6,5,5,5,5,5,5,5,6,5,6,5,5,2,4,5,5,5,5
10199631364,6,6,6,5,6,6,6,5,6,6,6,6,6,6,5,5,6,5,6,6,6
10199636268,6,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,3,3
10199637166,5,6,6,5,5,5,5,5,6,7,5,5,6,5,5,5,6,6,5,5,5
10199637484,3,3,4,4,3,4,4,4,3,4,3,3,4,4,3,3,3,4,3,3,3
10199648561,6,5,6,3,4,4,4,3,6,5,6,4,4,4,5,4,4,3,5,4,4
10199653012,5,5,4,4,5,5,5,5,4,4,5,4,4,4,5,4,4,3,4,4,4
10199659029,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
10199659215,5,6,5,5,5,6,5,5,5,6,6,5,4,4,4,5,5,4,3,5,4
10199677683,5,5,5,4,5,5,5,5,4,4,4,4,4,4,6,5,4,4,4,4,4
10201566090,4,4,3,4,3,4,3,4,4,3,5,4,5,5,4,6,4,3,3,4,4
10201577992,6,5,6,6,6,6,6,6,5,5,5,4,4,4,5,5,5,5,4,4,4
10201580807,5,4,5,5,6,5,5,5,4,4,4,4,4,4,5,4,4,4,3,3,3
10201584312,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4
10201586579,5,3,5,5,5,4,5,4,2,2,3,3,3,4,2,2,3,2,4,5,4
10201606250,6,6,7,7,7,6,6,7,6,7,6,6,6,6,4,3,4,3,6,6,6
10201614879,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4
10201620216,4,5,4,4,5,5,6,5,6,6,7,5,6,5,6,5,5,6,6,6,6
10201627946,5,5,5,6,5,6,6,6,6,6,6,5,5,5,5,5,6,6,4,4,4
10201631237,5,5,5,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
10201668471,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3
10201675110,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10201683921,6,7,6,6,5,5,6,6,5,5,5,6,6,7,5,4,5,5,6,5,6
10201683952,5,6,5,6,4,4,4,4,5,4,5,5,5,5,5,5,6,5,5,5,4
10201684291,5,5,5,4,6,6,6,5,1,1,1,3,3,2,4,3,1,1,1,1,1
10201684846,6,6,7,6,4,5,4,4,2,3,2,2,3,3,5,4,4,1,2,2,1
10201688128,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10201688361,7,5,6,4,6,6,6,6,4,4,4,4,4,3,5,4,3,4,3,2,2
10201689647,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5
10201712917,4,5,4,3,4,5,5,4,4,5,4,4,3,4,4,5,4,3,3,4,4
10201718418,5,3,4,3,4,3,3,3,4,3,3,2,2,2,2,2,2,2,3,3,3
10201718516,5,6,5,4,4,4,3,2,3,3,4,4,4,4,4,3,3,3,3,2,2
10201719520,4,5,4,4,5,4,5,4,4,5,5,4,5,5,4,4,5,5,4,3,3
10201844808,7,7,7,7,7,7,7,7,7,7,7,4,4,4,7,4,7,7,7,7,7
10201851214,5,6,6,6,6,6,7,7,4,4,5,3,3,2,4,3,3,3,4,5,5
10201855120,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10201859814,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10201866738,4,4,4,4,2,2,2,2,4,4,4,3,3,3,3,1,2,2,3,3,3
10201868887,4,4,4,4,5,5,5,5,5,4,4,5,4,4,5,4,5,4,5,4,4
10201873707,5,5,6,6,3,3,4,4,4,4,3,3,3,2,2,2,3,2,3,2,3
10201875183,5,6,6,5,5,5,6,5,4,4,4,5,5,5,5,5,4,5,5,4,4
10201875577,6,5,6,5,6,6,5,5,5,4,5,6,5,5,5,4,4,4,5,5,4
10201890888,5,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4
10201893094,7,4,4,5,7,7,7,7,4,4,4,4,4,4,7,5,5,6,5,6,5
10201894955,5,5,5,6,4,4,4,3,4,4,4,4,4,4,5,5,4,4,4,5,5
10201903284,4,4,4,3,4,4,4,5,4,4,5,4,4,5,4,4,4,5,4,4,5
10201919198,6,2,4,4,5,5,5,5,4,4,4,4,3,3,3,2,2,2,4,4,3
10201947375,6,6,6,4,5,5,5,6,4,4,4,3,4,4,4,4,4,4,4,4,3
10201950787,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,5,6,6,5
10201955613,5,5,5,4,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2
10201956053,4,5,6,4,4,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4
10201956266,5,6,6,5,3,3,3,3,5,5,5,3,2,3,3,3,2,2,3,5,3
10201965828,6,6,5,6,5,4,5,4,4,4,4,5,4,4,4,4,4,4,2,3,3
10201969643,6,4,5,7,4,4,5,4,4,4,4,4,4,4,5,4,5,4,5,4,3
10201973021,3,4,3,4,3,5,4,3,3,5,4,3,4,5,4,2,6,4,2,4,3
10202021740,4,4,5,4,3,3,3,3,2,2,2,3,3,3,2,3,2,2,2,2,2
10202050312,3,2,4,3,2,3,4,3,2,3,2,4,3,3,3,2,4,2,3,3,2
10202056209,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,4,4,4,4,4
10202056520,6,6,5,7,4,5,5,4,6,7,7,7,7,7,6,5,6,7,7,7,7
10202064180,6,6,6,1,5,4,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1
10202074470,6,5,6,6,7,7,7,5,5,4,4,5,6,4,5,3,6,5,6,5,6
10202077780,4,4,4,4,3,3,3,3,2,2,3,3,3,3,4,3,3,4,3,3,3
10202078133,4,4,5,4,4,4,5,5,5,5,5,3,4,4,3,3,3,4,4,4,3
10202084655,5,5,5,4,5,3,5,5,4,5,6,4,4,5,4,4,4,3,4,4,5
10202094426,5,6,5,5,5,4,5,5,4,5,4,5,5,5,6,5,5,6,5,4,4
